user_id,user_name,user_url,taste_cnt,follower_cnt,following_cnt
217,jbaksht,https://distiller.com/profile/jbaksht,0,1,7
218,Whisky-Diva,https://distiller.com/profile/whisky-diva,7,1,3
219,JMertz21,https://distiller.com/profile/jmertz21,27,2,5
220,Taylor-Ellis,https://distiller.com/profile/taylor-ellis,5,0,4
221,CoffeeBlackWhiskeyNeat,https://distiller.com/profile/coffeeblackwhiskeyneat,4,1,2
222,Mike-Chan,https://distiller.com/profile/mike-chan,0,0,2
223,dirtyberger,https://distiller.com/profile/dirtyberger,2,0,6
224,rawalker,https://distiller.com/profile/rawalker,56,21,9
225,OneMoreGlass,https://distiller.com/profile/onemoreglass,1,0,7
226,mmorse9650,https://distiller.com/profile/mmorse9650,55,10,14
227,Cmschulke,https://distiller.com/profile/cmschulke,1,0,8
228,King_Friday_XIII,https://distiller.com/profile/king_friday_xiii,1,0,16
229,Steelersfan294,https://distiller.com/profile/steelersfan294,0,0,7
230,ALFRED1,https://distiller.com/profile/alfred1,4,0,16
231,Bisonmedic,https://distiller.com/profile/bisonmedic,0,2,5
232,danielmenestres,https://distiller.com/profile/danielmenestres,21,0,15
233,jdelvalle89,https://distiller.com/profile/jdelvalle89,0,0,4
234,briancthayer,https://distiller.com/profile/briancthayer,59,4,26
235,dwm1963,https://distiller.com/profile/dwm1963,0,0,1
236,PuffinEater,https://distiller.com/profile/puffineater,24,1,1
237,zgassman,https://distiller.com/profile/zgassman,0,1,2
238,smfinn89,https://distiller.com/profile/smfinn89,41,0,3
239,cmacios,https://distiller.com/profile/cmacios,20,1,1
240,ddankbar,https://distiller.com/profile/ddankbar,4,0,1
241,drtimsargent,https://distiller.com/profile/drtimsargent,13,0,2
242,Tegan-Spinner,https://distiller.com/profile/tegan-spinner,14,3,10
243,Bigbadborst,https://distiller.com/profile/bigbadborst,61,4,4
244,jblock3,https://distiller.com/profile/jblock3,21,3,2
245,Nderrr,https://distiller.com/profile/nderrr,11,8,5
246,Will-Bender,https://distiller.com/profile/will-bender,1,0,10
247,Dragon74,https://distiller.com/profile/dragon74,0,0,1
248,Fonzarelli11,https://distiller.com/profile/fonzarelli11,0,0,6
249,Robert-Alexander-Lee,https://distiller.com/profile/robert-alexander-lee,6,7,3
250,Willwithwhiskey,https://distiller.com/profile/willwithwhiskey,1,0,1
251,toddhainsworth,https://distiller.com/profile/toddhainsworth,22,0,2
252,emmett,https://distiller.com/profile/emmett,0,0,1
253,Alec2022,https://distiller.com/profile/alec2022,1,0,5
254,Sergio-A-Villar,https://distiller.com/profile/sergio-a-villar,0,0,8
255,rking-1688,https://distiller.com/profile/rking-1688,46,12,8
256,marwan,https://distiller.com/profile/marwan,0,0,4
257,ASCarp10,https://distiller.com/profile/ascarp10,8,0,3
258,KennyH,https://distiller.com/profile/kennyh,0,1,1
259,brockrakow,https://distiller.com/profile/brockrakow,0,0,2
260,jaredavd,https://distiller.com/profile/jaredavd,73,0,1
261,cork5477,https://distiller.com/profile/cork5477,2,0,1
262,jdizzle,https://distiller.com/profile/jdizzle,5,4,2
